Time;NCLK12;CKE;CKQ;ADDR;RWb;CRAMCS;DTAC2;AS
-2,583e-05;1;0;1;hA027;1;1;1;0
-2,582e-05;1;0;1;hA027;1;1;1;0
-2,581e-05;0;0;1;hA027;1;1;1;0
-2,58e-05;0;0;1;hA027;1;1;1;0
-2,579e-05;0;0;1;hA027;1;1;1;0
-2,578e-05;0;1;1;hA027;1;1;1;0
-2,577e-05;1;1;1;hA027;1;1;1;0
-2,576e-05;1;1;1;hA027;1;1;0;0
-2,575e-05;1;1;1;hA027;1;1;0;0
-2,574e-05;1;1;1;hA027;1;1;0;0
-2,573e-05;0;1;1;hA027;1;1;0;0
-2,572e-05;0;1;1;hA027;1;1;0;0
-2,571e-05;0;1;1;hA027;1;1;0;0
-2,57e-05;0;1;0;hA027;1;1;0;0
-2,569e-05;1;1;0;hA027;1;1;0;0
-2,568e-05;1;1;0;hA027;1;1;0;0
-2,567e-05;1;1;0;hA027;1;1;0;0
-2,566e-05;1;1;0;hA027;1;1;0;0
-2,565e-05;0;1;0;hA027;1;1;0;0
-2,564e-05;0;1;0;hA027;1;1;0;0
-2,563e-05;0;1;0;hA027;1;1;0;0
-2,562e-05;0;1;0;hA027;1;1;0;0
-2,561e-05;1;0;0;hA027;1;1;0;0
-2,56e-05;1;0;0;hA027;1;1;0;0
-2,559e-05;1;0;0;hA027;1;1;0;0
-2,558e-05;1;0;0;hA027;1;1;0;0
-2,557e-05;0;0;0;hA027;1;1;0;1
-2,556e-05;0;0;0;hA027;1;1;1;1
-2,555e-05;0;0;0;hA027;1;1;1;1
-2,554e-05;0;0;0;hA028;1;1;1;1
-2,553e-05;1;0;1;hA028;1;1;1;1
-2,552e-05;1;0;1;hA028;1;1;1;1
-2,551e-05;1;0;1;hA028;1;1;1;1
-2,55e-05;1;0;1;hA028;1;1;1;1
-2,549e-05;0;0;1;hA028;1;1;1;0
-2,548e-05;0;0;1;hA028;1;1;1;0
-2,547e-05;0;0;1;hA028;1;1;1;0
-2,546e-05;0;0;1;hA028;1;1;1;0
-2,545e-05;0;1;1;hA028;1;1;1;0
-2,544e-05;1;1;1;hA028;1;1;1;0
-2,543e-05;1;1;1;hA028;1;1;1;0
-2,542e-05;1;1;1;hA028;1;1;1;0
-2,541e-05;0;1;1;hA028;1;1;1;0
-2,54e-05;0;1;1;hA028;1;1;1;0
-2,539e-05;0;1;1;hA028;1;1;1;0
-2,538e-05;0;1;1;hA028;1;1;1;0
-2,537e-05;0;1;0;hA028;1;1;1;0
-2,536e-05;1;1;0;hA028;1;1;1;0
-2,535e-05;1;1;0;hA028;1;1;0;0
-2,534e-05;1;1;0;hA028;1;1;0;0
-2,533e-05;1;1;0;hA028;1;1;0;0
-2,532e-05;0;1;0;hA028;1;1;0;0
-2,531e-05;0;1;0;hA028;1;1;0;0
-2,53e-05;0;1;0;hA028;1;1;0;0
-2,529e-05;0;0;0;hA028;1;1;0;0
-2,528e-05;1;0;0;hA028;1;1;0;0
-2,527e-05;1;0;0;hA028;1;1;0;0
-2,526e-05;1;0;0;hA028;1;1;0;0
-2,525e-05;1;0;0;hA028;1;1;0;0
-2,524e-05;0;0;0;hA028;1;1;0;0
-2,523e-05;0;0;0;hA028;1;1;0;0
-2,522e-05;0;0;0;hA028;1;1;0;0
-2,521e-05;0;0;0;hA028;1;1;0;0
-2,52e-05;1;0;1;hA028;1;1;0;0
-2,519e-05;1;0;1;hA028;1;1;0;0
-2,518e-05;1;0;1;hA028;1;1;0;0
-2,517e-05;1;0;1;hA028;1;1;0;0
-2,516e-05;0;0;1;hA028;1;1;0;1
-2,515e-05;0;0;1;hA028;1;1;1;1
-2,514e-05;0;0;1;hA028;1;1;1;1
-2,513e-05;0;0;1;hA028;1;1;1;1
-2,512e-05;1;1;1;hA028;1;1;1;1
-2,511e-05;1;1;1;hA028;1;1;1;1
-2,51e-05;1;1;1;hA028;1;1;1;1
-2,509e-05;1;1;1;hA028;1;1;1;1
-2,508e-05;0;1;1;hA028;1;1;1;1
-2,507e-05;0;1;1;hA028;1;1;1;1
-2,506e-05;0;1;1;hA028;1;1;1;1
-2,505e-05;0;1;1;hA028;1;1;1;1
-2,504e-05;0;1;0;hA028;1;1;1;1
-2,503e-05;1;1;0;hA028;1;1;1;1
-2,502e-05;1;1;0;hA028;1;1;1;1
-2,501e-05;1;1;0;hA028;1;1;1;1
-2,5e-05;0;1;0;hA028;1;1;1;1
-2,499e-05;0;1;0;hA028;1;1;1;1
-2,498e-05;0;1;0;hA028;1;1;1;1
-2,497e-05;0;1;0;hA028;1;1;1;1
-2,496e-05;0;0;0;hA028;1;1;1;1
-2,495e-05;1;0;0;hA028;1;1;1;1
-2,494e-05;1;0;0;hA028;1;1;1;1
-2,493e-05;1;0;0;hA028;1;1;1;1
-2,492e-05;1;0;0;hA028;1;1;1;1
-2,491e-05;0;0;0;hA028;1;1;1;1
-2,49e-05;0;0;0;hA028;1;1;1;1
-2,489e-05;0;0;0;hA028;1;1;1;1
-2,488e-05;0;0;1;hA028;1;1;1;1
-2,487e-05;1;0;1;hA028;1;1;1;1
-2,486e-05;1;0;1;hA028;1;1;1;1
-2,485e-05;1;0;1;hA028;1;1;1;1
-2,484e-05;1;0;1;hA028;1;1;1;1
-2,483e-05;0;0;1;hA028;1;1;1;1
-2,482e-05;0;0;1;hA028;1;1;1;1
-2,481e-05;0;0;1;h9808;1;1;1;1
-2,48e-05;0;0;1;h1A8B;1;1;1;1
-2,479e-05;1;1;1;h1A8B;1;1;1;1
-2,478e-05;1;1;1;h1A8B;1;1;1;1
-2,477e-05;1;1;1;h1A8B;1;1;1;1
-2,476e-05;1;1;1;h1A8B;1;1;1;1
-2,475e-05;0;1;1;h1A8B;1;1;1;1
-2,474e-05;0;1;1;h1A8B;1;1;1;1
-2,473e-05;0;1;1;h1A8B;1;1;1;1
-2,472e-05;0;1;1;h1A8B;1;1;1;1
-2,471e-05;1;1;0;h1A8B;1;1;1;1
-2,47e-05;1;1;0;h1A8B;1;1;1;1
-2,469e-05;1;1;0;h1A8B;1;1;1;1
-2,468e-05;1;1;0;h1A8B;1;1;1;1
-2,467e-05;0;1;0;h1A8B;1;1;1;0
-2,466e-05;0;1;0;h1A8B;1;1;1;0
-2,465e-05;0;1;0;h1A8B;1;1;1;0
-2,464e-05;0;1;0;h1A8B;1;1;1;0
-2,463e-05;1;0;0;h1A8B;1;1;1;0
-2,462e-05;1;0;0;h1A8B;1;1;1;0
-2,461e-05;1;0;0;h1A8B;1;1;1;0
-2,46e-05;1;0;0;h1A8B;1;1;1;0
-2,459e-05;0;0;0;h1A8B;1;1;1;0
-2,458e-05;0;0;0;h1A8B;1;1;1;0
-2,457e-05;0;0;0;h1A8B;1;1;1;0
-2,456e-05;0;0;0;h1A8B;1;1;1;0
-2,455e-05;0;0;1;h1A8B;1;1;1;0
-2,454e-05;1;0;1;h1A8B;1;1;0;0
-2,453e-05;1;0;1;h1A8B;1;1;0;0
-2,452e-05;1;0;1;h1A8B;1;1;0;0
-2,451e-05;0;0;1;h1A8B;1;1;0;0
-2,45e-05;0;0;1;h1A8B;1;1;0;0
-2,449e-05;0;0;1;h1A8B;1;1;0;0
-2,448e-05;0;0;1;h1A8B;1;1;0;0
-2,447e-05;0;1;1;h1A8B;1;1;0;0
-2,446e-05;1;1;1;h1A8B;1;1;0;0
-2,445e-05;1;1;1;h1A8B;1;1;0;0
-2,444e-05;1;1;1;h1A8B;1;1;0;0
-2,443e-05;1;1;1;h1A8B;1;1;0;0
